ID	sex	age	PC1	PC2	PC3
650	0	54	-12.5752	4.48001	-1.73606
2347	1	60	-11.6569	2.31503	-3.79873
27	1	43	-14.6258	3.83943	-4.84392
1784	1	69	-10.3291	2.45624	-1.80185
1389	1	50	-13.2537	2.03784	-1.03057
58	1	50	-16.4375	5.14909	-3.90652
3868	0	47	-10.5244	2.83217	-0.091361
21	1	48	-10.8408	3.73043	-1.39018
2012	1	57	-12.1415	5.501	-1.12395
3586	0	64	-12.0461	5.79616	-1.97075
685	0	40	-10.8019	2.25438	-3.32165
660	1	60	-12.5433	4.81451	-1.53859
1579	1	67	-10.279	3.32447	-0.537818
900	0	66	-13.5322	4.37502	-4.28525
2689	1	54	-13.1002	2.86854	-3.4934
990	1	56	-11.7361	0.941195	-0.590474
689	0	45	-11.0321	6.43804	-3.70849
1388	0	61	-13.6211	5.45003	-0.985568
2441	1	56	-9.81822	3.16463	-0.0176772
1398	1	62	-11.0348	3.58858	-1.7414
3608	1	47	-12.7806	3.69839	0.247905
558	0	66	-13.1208	0.13802	-1.85438
2164	1	66	-9.67339	3.0991	-2.72793
1441	0	58	-13.0868	3.63777	-5.00422
3863	1	50	-13.7765	3.03048	-2.90227
2428	1	66	-13.1523	0.245414	-3.17268
1619	1	67	-10.4082	4.38952	-0.433948
924	0	59	-12.2644	3.31779	-1.01161
937	1	58	-10.7957	4.67774	-4.89577
1090	1	62	-10.2622	4.46398	-2.37215
2869	0	44	-12.59	2.83858	-0.257369
3717	1	48	-13.3395	6.60579	0.174825
2931	0	69	-12.5147	1.92153	-0.112379
1568	1	59	-11.8907	1.26903	-2.53268
3422	0	68	-11.009	4.0281	0.505664
1909	1	65	-11.4676	1.96073	0.945246
2643	0	45	-11.0802	2.82527	-3.07102
3684	0	58	-14.2689	3.17897	0.782647
2478	0	42	-13.4452	5.84864	-1.0035
2853	0	60	-13.493	4.11339	0.834806
75	1	61	-10.545	3.42188	-2.49768
2986	1	43	-12.6099	4.17022	-2.42788
281	1	67	-12.0897	6.05656	-0.803032
1764	0	61	-12.4382	3.51924	-2.5504
1268	1	60	-12.0623	4.40971	-2.298
2490	0	57	-11.5246	4.48797	-1.69667
247	0	59	-10.3105	4.07983	-1.05545
1884	0	42	-13.8281	-0.609292	-0.644561
101	1	55	-10.3826	3.99147	-0.23297
2468	1	67	-12.8547	4.1564	-2.85053
3870	1	58	-12.1643	4.37504	-2.63506
2824	0	62	-9.60691	3.02894	-0.117051
3727	1	52	-11.6634	4.66116	-0.0208653
3168	1	62	-7.08508	4.90114	-2.73939
196	1	61	-13.6123	4.44398	-0.531801
1558	0	56	-12.0621	1.35136	-1.79479
3590	0	59	-11.3424	3.05691	0.00701861
1744	0	66	-13.8639	3.11125	-2.28855
2981	1	66	-12.8568	5.129	0.585727
2802	0	68	-11.1837	4.11295	0.0858977
120	0	60	-12.2324	5.96829	0.0768482
1175	0	47	-13.089	4.37474	-5.46062
2259	0	50	-14.054	3.47211	-2.40056
2848	1	53	-12.6803	3.26486	1.08001
3641	0	57	-12.3823	2.09541	-4.0506
3139	1	57	-14.6296	1.49896	-2.12875
2910	1	47	-11.6668	3.41145	-0.648559
3508	0	41	-12.7653	4.39142	-3.95453
955	0	59	-11.1501	4.66195	0.0408862
2192	1	64	-12.5106	4.12673	-1.15851
2861	1	50	-10.9831	3.73886	-2.33275
992	1	45	-9.6848	5.09839	0.142759
1092	0	52	-12.1873	5.36264	-0.210643
582	0	60	-10.7943	2.99324	-1.93109
2375	1	55	-12.3247	-1.17747	1.91096
664	0	43	-11.8706	5.70955	-1.67954
3726	1	45	-14.8283	3.10057	-0.71827
2042	1	64	-15.3689	2.51631	-5.12119
3200	1	67	-14.8436	3.7747	-3.0611
1821	1	41	-15.0422	4.71433	-0.941397
3366	1	56	-12.3569	3.19041	-2.20658
2896	0	45	-14.828	2.7623	-1.2556
3840	1	41	-13.0716	4.20722	0.987862
1628	1	47	-14.3063	4.97873	-4.13603
1108	1	65	-10.4528	3.86645	-0.467276
1664	1	66	-12.1636	2.73717	0.860064
1128	0	63	-12.0366	3.3734	-0.141149
876	1	48	-11.9457	4.75752	-0.852169
1635	0	64	-14.0291	4.55513	-1.34412
1367	1	46	-9.20368	4.47856	-0.936676
3934	1	48	-12.3053	3.88354	0.553747
542	0	61	-12.1423	5.24922	-1.91675
12	0	44	-14.9263	3.86129	-0.263251
844	1	59	-8.88616	4.14472	1.65817
1370	1	52	-11.6114	4.20663	-1.8042
1243	1	42	-12.0964	4.637	-0.0267749
2875	0	53	-11.9937	2.75601	1.39987
1576	1	46	-9.87866	1.50153	-0.87882
637	1	68	-11.4227	3.62491	-0.788289
469	0	51	-9.77042	-0.59168	-3.76678
3470	0	61	-10.8139	1.09541	1.06974
3804	1	43	-11.7024	3.05241	-3.91184
1833	0	58	-13.5465	2.27269	-0.836856
1756	0	43	-14.2099	3.88466	-3.58466
2546	0	61	-13.8186	3.40109	-1.8358
2205	0	60	-12.7316	3.4578	-4.22652
892	1	60	-12.1166	4.04701	0.35307
744	1	68	-9.57397	4.03499	-0.341779
507	1	65	-15.3918	3.10536	-2.56274
1387	1	67	-12.5814	3.82013	-1.50934
2650	0	59	-7.71016	3.21923	0.354295
1038	1	51	-12.7219	5.50404	-0.739589
3447	0	62	-12.0093	2.45411	-3.46681
2387	0	64	-11.6717	3.10582	-3.2948
1006	1	60	-13.3418	1.97526	-0.806238
1202	0	48	-10.7282	3.55448	-3.03731
1572	0	52	-14.507	4.6382	-1.6008
3860	0	69	-10.2502	2.80227	0.0833649
2444	0	66	-13.2279	4.84494	-3.12724
858	0	59	-11.9752	3.93028	0.997034
3925	1	43	-12.6756	5.3339	-2.10814
1816	1	46	-12.293	2.35491	-3.09418
3716	1	64	-12.006	3.69795	-2.92892
751	1	54	-10.1545	-0.63976	-0.855457
2989	1	64	-12.9417	3.33998	-4.05007
3898	1	61	-12.2285	5.67184	-1.6429
2693	1	66	-13.3508	3.32685	-1.94676
1877	1	44	-14.588	5.6757	-0.57323
1213	0	58	-12.559	4.79718	-4.61197
210	0	60	-10.8522	4.63337	-1.03764
3376	1	61	-11.8341	5.46743	-1.87135
2064	1	58	-11.1048	1.51728	0.452846
2111	0	55	-12.9835	6.42646	-2.83313
3040	1	46	-13.2179	1.65531	-5.26016
1352	0	66	-11.8945	3.27112	-3.51523
2876	0	66	-11.8171	4.67008	-2.2292
1727	1	43	-10.026	2.65326	0.312148
3689	1	67	-12.4084	3.28697	-4.04746
1510	1	62	-12.2472	1.38497	-2.88788
977	0	61	-11.4022	5.2571	-3.82913
3081	0	50	-11.4801	3.27279	-2.10086
417	0	55	-12.4984	4.86214	-1.30481
1320	0	64	-11.0587	3.25028	-1.83922
35	0	60	-12.226	4.7664	-1.59977
3674	0	49	-13.6708	5.00066	-2.7755
2482	0	64	-11.0813	2.55634	-2.48135
3130	0	63	-11.1712	5.52358	-2.52574
533	0	42	-11.3885	2.09119	-1.25076
3494	1	44	-11.7185	2.42496	-3.21353
588	1	55	-12.8564	4.0491	-1.63143
3039	1	52	-12.0381	2.52024	0.675124
460	0	69	-12.3526	3.73981	-1.52016
3681	0	41	-8.88416	3.2792	0.344505
3744	1	45	-11.4235	5.75157	-0.874991
3018	0	42	-12.8074	0.818973	-2.98567
140	1	59	-13.6821	1.24741	-2.86091
2333	0	64	-10.0927	5.6266	-1.18386
3467	0	68	-12.9119	1.56998	-0.130806
1971	0	66	-12.2075	5.24379	-1.9779
1966	1	61	-13.7696	1.55026	-2.54915
1890	0	63	-11.8907	4.35827	-1.00103
1435	1	52	-10.3728	6.6928	-2.8178
553	0	42	-8.53912	5.78063	1.82122
2480	1	62	-13.2785	1.56609	-1.11629
3407	0	52	-13.6894	3.14484	-5.29703
2761	1	44	-12.199	2.82235	1.47139
1027	0	51	-11.6036	4.89459	-3.08451
3788	0	69	-13.0256	3.64119	0.297073
272	1	43	-11.8895	4.2558	-1.90669
3807	0	66	-12.0387	4.11245	-3.79992
438	0	53	-13.6014	4.67141	-1.94891
1925	0	48	-9.74704	3.51373	-3.58081
3413	0	51	-14.9492	6.53193	-2.20496
3339	0	54	-13.1887	0.918419	0.367584
233	0	45	-11.6444	2.25619	0.444178
2023	1	52	-13.0041	3.78316	-2.93181
1900	1	62	-10.6682	4.79205	-1.38955
1084	0	63	-11.9116	4.66415	-1.76971
776	0	60	-12.0106	5.40646	-3.88244
2187	1	55	-15.1906	3.73398	-2.38649
2925	0	65	-14.1799	3.89857	-2.09835
464	1	67	-13.8091	3.1809	-3.97684
2067	0	68	-15.0803	5.36925	-2.42635
3112	1	69	-11.894	4.48265	-3.85274
3052	0	61	-14.0251	2.87794	-3.50263
3759	1	48	-12.6768	3.36312	-2.52775
3159	0	55	-12.7281	3.30531	-3.34553
2847	0	49	-11.576	4.76479	-2.43662
3103	0	62	-13.1844	2.59396	-1.15924
1294	0	51	-14.1583	3.62312	-3.85017
653	1	64	-11.6351	2.98807	-2.31083
2075	1	65	-12.158	5.76875	-1.99093
3059	0	60	-11.5012	3.42502	0.222495
1390	0	57	-14.1428	1.58923	-3.89955
936	0	45	-13.3901	5.50105	0.9223
1734	1	46	-13.8924	1.53193	-1.25302
3231	1	54	-12.3728	3.48023	-4.6561
2638	0	57	-12.1122	4.23497	-4.26671
1758	1	67	-13.9311	4.40464	-3.54686
2623	0	65	-10.5215	3.90157	-1.87051
3354	0	59	-11.1915	2.68353	-1.56827
1508	1	44	-12.3099	3.32377	-2.34638
1281	1	53	-11.222	6.42323	-2.60295
1573	0	64	-14.0808	5.38825	-3.19991
1353	0	60	-10.0547	1.77128	-1.26594
543	1	64	-14.8274	2.08983	-1.37282
1766	0	64	-11.9131	2.32759	-1.37221
1179	0	50	-12.5784	2.95903	-1.03519
2704	0	69	-12.1967	3.96953	-1.18833
3595	1	65	-10.2659	3.92481	-1.86051
3005	0	44	-12.3407	5.07072	-5.12691
2206	1	47	-8.91648	2.87316	-0.104433
2589	0	41	-8.77629	4.93266	-2.7016
164	0	59	-10.0892	5.00252	-0.556702
793	1	69	-15.0297	3.62542	-3.13053
2119	0	65	-12.0169	3.75699	-0.393648
1539	1	69	-13.6355	5.99095	-3.48096
967	1	67	-14.3475	4.14397	-1.75973
565	1	60	-13.5086	2.10687	-1.35155
1184	0	61	-9.6543	3.74185	-0.448637
2231	0	53	-12.4057	5.15452	-0.861461
1755	0	63	-10.2229	2.04577	1.56302
318	1	62	-11.23	2.38006	0.794416
3849	0	65	-12.9364	3.81397	0.21831
1053	0	63	-12.8964	2.71987	-1.11636
364	1	55	-11.4891	3.90824	-3.68381
3719	0	40	-15.3043	3.10699	-3.55125
2142	1	58	-9.05371	6.08885	-0.0237526
496	1	54	-12.0038	1.78511	-3.55023
2602	1	52	-14.2175	4.00518	-2.59656
3132	0	63	-13.5984	4.43033	-2.86629
1680	0	58	-9.99997	3.86887	-0.787439
2526	1	64	-10.8047	4.30175	-0.878212
642	0	65	-9.65746	2.00893	1.02568
2832	1	42	-11.7809	1.35742	0.869624
1137	0	63	-13.3295	2.28248	-2.44234
1621	0	65	-14.83	1.71268	1.91828
3202	0	63	-12.7814	3.65741	-1.90785
1986	1	46	-11.2638	5.8518	0.0231676
311	1	56	-11.6019	3.36023	-1.37877
2883	1	60	-12.7145	3.02682	-1.52356
734	0	56	-11.6918	1.56594	-2.84604
906	1	54	-12.1922	5.15333	-0.491707
3345	1	53	-15.2298	3.78583	-1.29401
2588	1	49	-11.5086	1.93135	-0.408617
3099	1	52	-11.754	6.06014	-0.600199
337	1	57	-13.3671	4.56753	-3.58166
705	1	62	-13.1211	4.18985	-2.41218
3083	0	45	-13.1235	3.4588	-2.61626
419	0	61	-10.5836	5.53212	-3.2735
3649	0	59	-13.4738	7.27191	-3.02027
2656	1	54	-11.894	4.77255	-0.247147
2561	1	65	-12.5652	3.4556	-1.3071
1197	1	51	-14.1232	4.03182	1.30378
117	0	55	-13.4116	7.74738	-3.40727
964	0	66	-14.2578	3.29259	-1.10344
3536	0	59	-11.6793	5.53551	-2.33275
1107	0	49	-15.1286	4.04073	-3.06539
3031	1	64	-11.4065	3.63306	-3.3955
647	1	53	-14.3693	4.75071	-0.287721
1277	0	43	-8.7257	3.5056	3.11847
3714	0	59	-13.0555	2.6323	-0.776243
1718	1	59	-12.8243	3.93065	-1.6807
3232	0	65	-14.6429	4.35585	-3.49481
3110	1	54	-14.251	6.35775	0.069105
2938	0	61	-12.1272	3.42379	-3.79497
3070	0	51	-13.8288	3.56368	-0.222559
3357	0	41	-11.9226	5.11918	-4.04831
1374	0	62	-14.2971	4.71948	-0.986939
2134	0	68	-11.8001	2.22594	-2.11013
675	1	51	-8.61267	2.20663	-1.83377
410	0	52	-12.5429	4.68958	-4.18999
2355	1	50	-12.3726	2.95356	-0.154791
357	1	41	-13.0609	3.89612	-2.01416
1226	0	66	-11.7566	6.0476	-4.67396
891	0	67	-10.7159	4.1881	-3.76751
3830	0	43	-12.238	4.76116	-1.63547
1746	0	68	-13.8775	6.77241	-1.05979
1140	1	62	-15.5468	4.83223	-1.34453
98	1	59	-11.6407	2.71969	-3.23601
219	1	65	-11.0703	2.04459	1.24577
1372	0	68	-6.73544	3.04524	1.45544
3909	1	56	-12.5428	3.14608	-1.08692
2115	1	46	-14.5507	4.78371	0.310355
2299	1	52	-10.9254	4.09256	-3.39894
2237	0	42	-12.5362	4.06272	-3.46923
3730	1	67	-13.4422	2.35115	-2.82391
1968	1	44	-11.2326	3.47706	-1.33692
673	1	42	-13.0496	1.85668	-0.257492
870	1	47	-15.71	2.93915	-1.61362
1892	0	61	-11.3749	2.8642	-0.964511
2681	0	69	-8.51491	4.72814	-2.88599
3666	0	58	-14.4225	2.25641	-0.383109
3593	1	60	-14.0428	2.29289	-3.49796
2191	0	64	-9.91998	4.93797	-3.33408
18	0	54	-11.0347	6.26534	-0.815231
3800	0	50	-13.6723	4.54113	-0.692347
474	1	42	-11.5491	6.11221	1.23547
1662	0	51	-14.06	4.74925	-2.79927
1702	0	41	-14.7684	5.40268	-3.66294
3283	1	49	-10.9694	5.84366	0.912143
3131	0	62	-11.8437	4.50251	-1.47743
1082	0	59	-12.366	3.33601	3.16929
512	0	54	-13.5648	4.01082	-3.05737
1325	1	46	-9.4664	3.98349	-0.61581
1072	0	66	-12.3676	4.41334	-0.909425
1295	0	57	-10.3412	2.59832	-5.27978
3549	0	62	-13.2281	1.6523	-2.91509
3440	1	53	-10.4819	0.72611	-0.585242
3276	1	54	-13.553	2.09162	-1.54967
2017	1	44	-10.7507	3.64093	0.0163524
3624	0	54	-11.6176	4.20029	-1.869
1307	0	61	-15.0971	5.59264	-2.73185
656	1	49	-12.6823	5.21723	-1.9995
2341	0	54	-13.9985	3.55778	0.0755114
2007	1	44	-12.1818	3.14542	-1.01092
153	1	66	-10.794	5.4399	-1.32342
1138	0	49	-10.1474	4.70623	0.754102
1319	0	50	-12.3918	6.01222	-0.386252
2486	1	69	-12.3237	5.70586	-1.49702
1752	1	61	-10.828	4.73947	1.669
3069	1	65	-14.998	5.44567	0.295327
3813	1	56	-11.4473	5.16909	-2.27841
2966	1	58	-13.7503	3.88105	-3.30964
3746	1	68	-13.016	3.00159	0.299519
1546	0	44	-14.8905	1.51719	-2.19949
1012	0	66	-15.8969	2.80171	-0.609107
901	0	67	-8.90986	5.89191	0.471433
2813	0	44	-13.3851	4.12322	-2.76561
3887	0	58	-11.1398	1.69656	-2.59563
2170	1	62	-15.6264	6.68543	-1.79238
2700	1	50	-16.3798	5.29339	-1.71373
3659	1	40	-12.3727	2.67206	0.0917206
1741	0	59	-9.88414	3.3915	1.42453
1580	0	64	-12.2984	2.59597	-3.60318
1799	0	59	-12.0838	4.68828	-3.2922
536	1	44	-11.215	4.87345	0.562708
3037	0	55	-8.82279	3.84114	2.24897
3117	1	64	-11.2412	6.54062	-1.49217
214	1	42	-13.7991	3.68356	-1.35473
603	0	63	-12.8828	2.58331	-1.72293
1641	0	44	-8.07871	2.81242	-3.58386
3405	1	67	-10.6524	-0.238989	-2.09364
1872	0	50	-12.3928	0.969983	-3.67184
3143	1	69	-13.4664	3.01578	-1.61185
2359	1	66	-11.3344	5.48331	-0.70356
643	0	60	-14.8595	3.37351	1.20191
195	1	64	-11.6788	4.48244	-2.21787
3577	1	48	-13.6878	-0.107754	-2.59036
1612	0	67	-10.7428	4.14056	0.834176
3167	1	61	-13.2244	5.20711	-1.63231
1049	1	68	-13.3326	1.39531	-2.92185
1475	0	58	-10.7957	3.26939	-2.8459
1974	0	64	-9.92832	1.10862	-3.36391
3066	1	51	-13.0503	3.0665	-2.02842
1244	0	61	-12.8587	3.97996	0.640501
3982	1	49	-13.8438	3.45323	-0.156923
3015	1	41	-13.6311	-0.775377	-3.35978
180	0	53	-12.7129	2.65508	-2.41351
159	1	41	-12.0585	1.15644	-0.392549
3960	0	62	-8.95029	4.50435	-1.90887
3676	1	64	-13.7639	6.57079	1.18967
1582	0	40	-11.0095	2.31171	-2.267
837	0	44	-9.71808	1.40989	0.252862
3850	1	45	-12.4767	2.77693	-1.24333
2322	1	54	-11.9145	3.88528	2.35402
2568	0	48	-14.3723	5.46389	-3.09657
188	1	54	-12.4432	3.90134	-0.627679
914	0	65	-13.2561	3.37261	-0.510244
166	0	41	-12.3586	2.53687	-1.0252
42	1	57	-13.3257	5.23841	-1.03899
1379	0	49	-12.2186	3.02091	-1.44065
1983	0	53	-12.6178	3.96358	-2.03155
3169	0	55	-12.8138	2.69201	-0.832318
3834	1	68	-13.0908	4.24884	-2.76989
2842	0	67	-11.2372	1.03008	-5.26427
1189	1	47	-13.9356	4.25899	-1.27436
206	0	59	-10.9687	4.13486	-0.258642
761	1	41	-13.1556	3.03085	-1.84555
189	1	61	-11.9765	2.80389	-1.14703
1997	0	65	-13.8108	6.30001	-0.645652
2968	1	63	-13.8522	4.05193	1.08098
2980	0	65	-12.5401	4.12403	-4.13534
3021	1	67	-9.72703	1.52089	-0.297915
1339	1	62	-9.776	1.90629	0.595594
3980	0	61	-12.682	2.96767	-2.9528
2489	0	66	-13.49	3.2241	-3.71836
391	0	63	-12.8746	0.926768	-2.11461
3799	0	59	-11.8425	3.59738	0.795066
121	1	58	-12.7059	3.30488	1.04882
2873	1	64	-9.7009	3.45606	-1.91689
3047	1	62	-14.2509	4.79997	-0.793679
1039	1	52	-11.1431	3.46285	-1.49385
3247	0	57	-12.6614	5.5049	-1.07363
3307	1	57	-11.6126	2.99882	-1.64109
589	0	51	-9.91078	3.68776	0.0495049
2884	0	64	-13.3675	2.09854	-3.51549
1258	0	56	-13.2831	4.6053	-3.91853
1675	0	59	-13.58	4.44012	0.0725487
2547	0	59	-6.85564	2.3708	1.58607
2082	1	69	-11.8463	0.965769	-1.60702
1158	1	64	-9.35979	0.149081	0.958835
2592	1	42	-12.8295	4.80538	-0.0240739
2373	0	43	-14.0059	1.6212	-0.989015
665	0	64	-10.615	4.04973	-1.20582
1302	1	63	-11.9538	3.17262	-1.8816
1442	0	60	-12.0461	5.63655	0.263598
3580	1	57	-13.6764	4.50783	-2.93555
3411	0	63	-11.7821	3.68457	-0.35883
1770	1	56	-12.3708	5.97731	-1.33363
3805	0	67	-15.2562	4.50034	-0.787847
717	1	54	-10.1194	2.28781	0.979979
149	1	65	-11.76	1.87416	0.585625
1503	1	52	-13.4984	4.07736	-3.14616
1155	1	59	-11.803	5.08194	-4.11581
599	0	52	-7.99957	2.61942	-1.71093
980	1	49	-13.46	2.83297	-1.29925
710	0	69	-12.2358	3.2265	-2.8768
3179	1	52	-13.6784	6.73502	-2.34562
2167	1	64	-13.3304	3.6705	-1.03957
199	0	68	-9.51808	5.11052	-1.3101
2127	0	69	-14.9872	1.01707	-3.2781
1659	0	52	-11.3956	3.59192	0.484681
2774	0	67	-13.586	1.91306	-1.04864
1156	1	55	-11.047	3.61233	-0.323331
1542	0	47	-11.5087	3.27705	-1.61552
3267	1	67	-13.1859	5.13362	-0.723918
1729	0	61	-11	5.04352	-0.963723
2377	1	59	-13.0358	4.78918	-2.85911
46	0	54	-11.5061	4.87492	-2.52199
108	1	47	-13.0753	4.05009	-1.41659
1148	1	61	-13.0447	1.97709	-2.20225
1765	0	62	-8.75651	5.51658	-0.0396213
1953	1	53	-14.0059	2.59548	-4.84518
2314	1	57	-11.5511	2.35974	1.97431
3148	0	50	-15.9712	1.25268	-0.0966866
963	1	63	-12.5683	3.45931	-1.84284
283	0	59	-13.7096	2.40968	-2.65639
1653	0	59	-12.9163	4.00329	-1.85811
547	0	66	-13.803	3.97936	-2.35655
559	0	67	-14.0954	2.7128	-2.64344
2451	1	57	-12.3888	3.73355	-1.89648
3702	0	66	-11.8712	4.71407	-1.74283
